drug_id,drug_name,drug_synonyms_value,drug_synonyms_type,therapy_areas,drug_primary_action_value,drug_primary_action_id,drug_secondary_action_value,drug_secondary_action_id,drug_primary_indication_value,drug_primary_indication_id,drug_secondary_indication_value,drug_secondary_indication_id,drug_primary_company_value,drug_primary_company_id,drug_secondary_company_value,drug_secondary_company_id,drug_company_originator_value,drug_company_originator_id,drug_brand_names,drug_generic_names,molecular_mechanism_value,molecular_mechanism_id,cellular_mechanism_value,cellular_mechanism_id
119870,CPL-304-110,"CPL-304-110|PG-19|fibroblast growth factor receptor inhibitor (advanced solid malignancies), Celon Pharma|fibroblast growth factor receptor inhibitor (gastric cancer/bladder cancer/squamous non-small cell lung cancer/cholangiocarcinoma/sarcoma/endometrial/ovarian cancer), Celon Pharma",Research Code,Cancer,FGF receptor antagonist,168,Anticancer protein kinase inhibitor|Anticancer,62255|1545,Non-small-cell lung cancer|Stomach tumor|Endometrioid carcinoma|Cholangiocarcinoma|Sarcoma|Bladder cancer|Squamous cell carcinoma|Metastatic bladder cancer|Metastatic stomach cancer|Advanced solid tumor|Lung tumor|Ovary tumor,1262|127|1705|1765|194|2380|307|3466|3666|3713|755|799,,,Celon Pharma SP,1018191,,,Celon Pharma SP,1018191,,,,,,
119871,TPX-0131,"ALK inhibitors (non-small cell lung cancer), Turning Point Therapeutics|TPX-0131",Research Code,Cancer,Anaplastic lymphoma kinase receptor inhibitor,3736,Anticancer protein kinase inhibitor,62255,Non-small-cell lung cancer,1262,,,Turning Point Therapeutics Inc,1112197,,,Turning Point Therapeutics Inc,1112197,,,,,,
119930,PF-06940434,PF-06940434,Research Code,Cancer,Integrin alpha-V/beta-8 antagonist,6077,Anticancer,1545,Biliary cancer|Endometrioid carcinoma|Transitional cell carcinoma|Squamous cell carcinoma|Stage IV melanoma|Metastatic stomach cancer|Metastatic esophageal cancer|Metastatic lung cancer|Metastatic pancreas cancer|Metastatic head and neck cancer|Metastatic ovary cancer|Metastatic renal cell carcinoma,1516|1705|1771|307|3257|3666|3667|3668|3669|3673|3866|4250,,,Pfizer Inc,18767,,,Pfizer Inc,18767,,,,,,
120005,BGB-11417,"BGB-11417|Bcl-2 inhibitor (oral film-coated tablets, B-cell lymphomas), BeiGene",Research Code,Cancer,Bcl-2 protein inhibitor,16111,Anticancer,1545,Myelodysplastic syndrome|Acute myelogenous leukemia|Chronic lymphocytic leukemia|Follicle center lymphoma|Splenic marginal zone lymphoma|Diffuse large B-cell lymphoma|B-cell lymphoma|Non-Hodgkin lymphoma,1272|1731|1734|1745|1747|1749|316|319,,,BeiGene Co Ltd,1063251,,,BeiGene Co Ltd,1063251,,,beta-Adrenoceptor Antagonists|alpha-Adrenoceptor Antagonists,44|35,Signal Transduction Modulators,1402
120013,ICG-134,"CD19 CARvac T cells|anti-CD19 CAR T-cell therapy + tumor vaccine (CARvac, B-cell lymphoma/B cell leukemia), iCell Gene Therapeutics/iCAR Bio|ICG-134",Research Code,Cancer,B-lymphocyte antigen CD19 modulator,5080,Anticancer|T-lymphocyte stimulator|Therapeutic vaccine|Immunostimulant,1545|7761|12379|393,Leukemia|B-cell lymphoma,199|316,,,iCar Bio Therapeutics Ltd|iCell Gene Therapeutics,1195729|1124295,,,iCell Gene Therapeutics,1124295,,,,,,
120016,KP-1237,"CD38-ARM|KP-1237|CD38 targeting antibody recruiting molecule (short acting, relapsed/refractory multiple myeloma), Kleo Pharmaceuticals/PeptiDream",Research Code|Research Code,Cancer,ADP ribosyl cyclase-1 modulator,5134,Natural killer cell stimulator|Immunostimulant|Macrophage stimulator|Therapeutic antibody|Anticancer,7757|393|7751|172641|1545,Multiple myeloma,1828,,,Kleo Pharmaceuticals Inc|PeptiDream Inc,1129154|1061958,,,Kleo Pharmaceuticals Inc,1129154,,,,,,
120018,CART-ddBCMA,"CART-ddBCMA|anti-BCMA CAR T-cell therapy (multiple myeloma), Arcellx|BCMA-targeted CAR T-cell therapy (iv, relapsed/refractory multiple myeloma), Arcellx",Research Code,Cancer,APRIL receptor modulator,8255,Anticancer|Genetically engineered autologous cell therapy|Immunostimulant|T-lymphocyte stimulator,1545|4790|393|7761,Multiple myeloma,1828,,,Arcellx Inc,1131314,,,Arcellx Inc,1131314,,,Calcium Channel Blockers,361,,
120028,BCMA-CS1 cCAR,"BCMA-CS1 cCAR|dual anti-BCMA/anti-CS1 CAR T-cell therapy (multiple myeloma), iCell Gene Therapeutics/iCAR Bio Therapeutics",,Cancer,SLAM family member 7 modulator|APRIL receptor modulator,45393|8255,T-lymphocyte stimulator|Immunostimulant|Anticancer,7761|393|1545,Multiple myeloma,1828,,,iCar Bio Therapeutics Ltd|iCell Gene Therapeutics,1195729|1124295,,,iCell Gene Therapeutics,1124295,,,,,,
120032,K-NK003,"K-NK003|natural killer cell therapy (acute myeloid leukemia), Kiadis Pharma|membrane-bound interleukin-21-expanded haploidentical natural killer cells (acute myeloid leukemia/myelodysplastic syndrome), Kiadis Pharma|mbIL21-expanded haploidentical NK cells (acute myeloid leukemia/myelodysplastic syndrome), Kiadis Pharma",Research Code,Cancer,IL-21 agonist,4845,Natural killer cell stimulator|Anticancer|Immunostimulant,7757|1545|393,Myelodysplastic syndrome|Acute myelogenous leukemia,1272|1731,,,Kiadis Pharma BV,29823,,,Kiadis Pharma BV,29823,,,,,,
120068,ZN-c3,"ZN-c3|Wee-1 protein kinase inhibitor (advanced solid tumors, oral), K-Group Beta/Zentalis Pharmaceuticals",Research Code,Cancer,Wee-1 protein kinase inhibitor,4640,Anticancer protein kinase inhibitor,62255,Small-cell lung cancer|Non-small-cell lung cancer|Transitional cell carcinoma|Osteosarcoma|Melanoma|Fallopian tube cancer|Peritoneal tumor|Breast tumor|Solid tumor|Uterus tumor|Ovary tumor,1261|1262|1771|1772|205|2243|3083|49|725|740|799,,,Zentera Therapeutics|K-Group Beta|Zentalis Pharmaceuticals,1213285|1199185|1201287,,,Zentalis Pharmaceuticals,1201287,,,,,,
120104,GC-007G,"GC-007G|allogeneic anti-CD19 CAR T-cell therapy (B-cell acute lymphoblastic leukemia), Gracell Biotechnology|donor-derived anti-CD19 CAR T-cell therapy (B-cell acute lymphoblastic leukemia), Gracell Biotechnology|donor CAR-19|anti-CD19 allo-CAR-T cells",Research Code|Research Code|Research Code,Cancer,B-lymphocyte antigen CD19 modulator,5080,T-lymphocyte stimulator|Immunostimulant|Anticancer,7761|393|1545,B-cell acute lymphoblastic leukemia,1729,,,Gracell Biotechnology Ltd,1180179,,,Gracell Biotechnology Ltd,1180179,,,,,,
120106,LAVA-051,"LAVA-051|anti-TCR/anti-CD1d bispecific T-cell engager (hematological malignancies), Lava Therapeutics/Leiden University Medical Center|CD1d-Vd2 bispecific VHH|CD1d-Vd2 bsVHH|CD1d-VHH + Vd2-VHH|anti-TCR/anti-CD1d bispecific gamma-delta T-cell engager (hematological malignancies), Lava Therapeutics/Leiden University Medical Center",Research Code,Cancer,T-cell surface glycoprotein CD1d modulator|T cell receptor modulator,5014|74842,T-lymphocyte stimulator|Anticancer antibody|Immunostimulant|Natural killer T-lymphocyte stimulator,7761|55684|393|173716,Acute myelogenous leukemia|Chronic lymphocytic leukemia|Multiple myeloma|Hematological neoplasm,1731|1734|1828|2054,,,Lava Therapeutics BV,1153990,Vrije Universiteit van Amsterdam,23905,Vrije Universiteit van Amsterdam,23905,,,,,,
120109,BCMA-CD19 cCAR,"BCMA-CD19 cCAR|dual anti-BCMA/anti-CD19 CAR T-cell therapy (intravenous, multiple myeloma/plasmacytoid lymphoma), iCell Gene Therapeutics/iCAR Bio Therapeutics",,Cancer,APRIL receptor modulator|B-lymphocyte antigen CD19 modulator,8255|5080,Genetically engineered autologous cell therapy|T-lymphocyte stimulator|Anticancer|Immunostimulant,4790|7761|1545|393,Lymphoplasmacytic lymphoma|Multiple myeloma,1743|1828,,,iCell Gene Therapeutics|iCar Bio Therapeutics Ltd,1124295|1195729,,,iCell Gene Therapeutics,1124295,,,Angiotensin-I Converting Enzyme (ACE) Inhibitors,381,,
120133,LY-3499446,"LY-3499446|KRAS G12C inhibitor (cancer), Eli Lilly",Research Code,Cancer,K-Ras GTPase inhibitor,28039,Anticancer,1545,,,Non-small-cell lung cancer|Solid tumor|Colorectal tumor,1262|725|989,,,Eli Lilly & Co,17810,Eli Lilly & Co,17810,,,,,,
120275,GEN-1044,"DuoBody-CD3x5T4|anti-CD3/anti-5T4 bispecific T-cell engager (Fc-silenced DuoBody, cancer), Genmab|GEN-1044",Research Code|Research Code,Cancer,Trophoblast glycoprotein modulator|CD3 modulator,14327|5023,Anticancer antibody|T-lymphocyte stimulator|Immunostimulant,55684|7761|393,Squamous cell carcinoma|Metastatic bladder cancer|Metastatic breast cancer|Metastatic prostate cancer|Metastatic non small cell lung cancer|Metastatic esophageal cancer|Metastatic head and neck cancer|Uterus tumor,307|3466|3657|3664|3665|3667|3673|740,Cancer,651,AbbVie Inc|Genmab A/S,1072507|26469,,,Genmab A/S,26469,,,,,,
120278,PBCAR-269A,"PBCAR-269A|allogeneic CAR T-cell therapy (ARCUS, multiple myeloma), Precision BioSciences|anti-BCMA CAR T-cell therapy (ARCUS, multiple myeloma), Precision BioSciences",Research Code,Cancer,APRIL receptor modulator,8255,Immunostimulant|T-lymphocyte stimulator|Anticancer,393|7761|1545,Multiple myeloma,1828,,,Precision BioSciences Inc,1032090,,,Precision BioSciences Inc,1032090,,,,,,
120283,MANA-312,"MANA-312|tumor associated antigen specific T-cells (Hodgkin lymphoma), Mana Therapeutics|TAA-targeted T-cell therapy (PRAME, Survivin, WT1), Mana Therapeutics",Research Code,Cancer,Survivin protein modulator|Tumor expressed melanoma antigen modulator|Wilms tumor protein modulator,13606|18578|30009,Anticancer|T-lymphocyte stimulator|Immunostimulant,1545|7761|393,Myelodysplastic syndrome|Acute myelogenous leukemia,1272|1731,,,Mana Therapeutics,1198166,,,Mana Therapeutics,1198166,,,,,,
120304,RAPA-201,"RAPA-201|RAPA-201 cells|autologous rapamycin-resistant Th1/Tc1 cells (multiple myeloma), Rapa Therapeutics/Medical College of Wisconsin|RAPA-201 autologous T cells (multiple myeloma), Rapa Therapeutics/Medical College of Wisconsin",Research Code,Cancer,,,T-lymphocyte stimulator|Immunostimulant|Anticancer|Genetically engineered autologous cell therapy,7761|393|1545|4790,Multiple myeloma,1828,,,Rapa Therapeutics|Medical College of Wisconsin,1178562|21040,,,Rapa Therapeutics,1178562,,,,,,
120388,TAK-186,"MVC-101|anti-CD3/anti-EGFR bispecific T-cell engager (COBRA, solid tumors), Maverick Therapeutics|TAK-186",Research Code|Research Code,Cancer,CD3 modulator|Epidermal growth factor receptor modulator,5023|3605,Immunostimulant|Anticancer antibody|T-lymphocyte stimulator,393|55684|7761,Squamous cell carcinoma|Metastatic colorectal cancer|Metastatic non small cell lung cancer|Metastatic head and neck cancer|Advanced solid tumor,307|3658|3665|3673|3713,Solid tumor,725,Maverick Therapeutics Inc,1142064,,,Maverick Therapeutics Inc,1142064,,,,,,
120504,ET-019003,"ET-019003|ET019003-T Cells|dual anti-CD19 CAR T-cell therapy/anti-CD19 CSR T-cell therapy (ARTEMIS AbTCR, lymphoma/leukemia), Eureka Therapeutics|dual anti-CD19 CAR T-cell therapy/anti-CD19 chimeric signaling receptor ET190L1-CSR T-cell therapy (ARTEMIS antibody-TCR, lymphoma/leukemia), Eureka Therapeutics",Research Code|Research Code,Cancer,B-lymphocyte antigen CD19 modulator,5080,T-lymphocyte stimulator|Anticancer|Genetically engineered autologous cell therapy|Immunostimulant,7761|1545|4790|393,Acute lymphoblastic leukemia|Leukemia|Lymphoma|Non-Hodgkin lymphoma,1728|199|203|319,,,Eureka Therapeutics Inc,1053219,,,Eureka Therapeutics Inc,1053219,,,,,,
120529,"anti-BCMA CAR T-cell therapy (multiple myeloma), PersonGen Biomedicine","anti-BCMA CAR T-cell therapy (multiple myeloma), PersonGen Biomedicine|BCMA-CART cells, PersonGen Biomedicine",Research Code,Cancer,APRIL receptor modulator,8255,T-lymphocyte stimulator|Genetically engineered autologous cell therapy|Anticancer|Immunostimulant,7761|4790|1545|393,Multiple myeloma,1828,,,PersonGen Biomedicine (Suzhou) Co Ltd,1115492,,,PersonGen Biomedicine (Suzhou) Co Ltd,1115492,,,,,,
120612,ABM-1310,"ABM-1310|B-Raf inhibitor (oral capsule, advanced solid tumor), ABM Therapeutics Inc",Research Code,Cancer,Raf B protein kinase inhibitor,4548,Anticancer protein kinase inhibitor,62255,Thyroid tumor|Cholangiocarcinoma|Glioblastoma|Stage IV melanoma|Metastatic colorectal cancer|Metastatic non small cell lung cancer|Advanced solid tumor|Metastatic ovary cancer,1134|1765|2454|3257|3658|3665|3713|3866,,,ABM Therapeutics Inc,1183606,,,ABM Therapeutics Inc,1183606,,,,,,
120625,VOB-560,"VOB-560|Bcl-2 inhibitor (cancer), Novartis|S-65487",Research Code|Research Code,Cancer,Bcl-2 protein inhibitor,16111,Anticancer,1545,Acute myelogenous leukemia|Multiple myeloma|Non-Hodgkin lymphoma|Cancer,1731|1828|319|651,,,Novartis AG,23137,,,Novartis AG,23137,,,,,,
120630,"exatecan (intracellular/alphalex, solid tumors), Cybrexa","exatecan|CBX-12|alphalex-exatecan|exatecan (intracellular/alphalex, solid tumors), Cybrexa",INN|Research Code,Cancer,Topoisomerase I inhibitor,141,Anticancer,1545,Advanced solid tumor,3713,,,Cybrexa Therapeutics,1173226,,,Cybrexa Therapeutics,1173226,,,,,,
120632,GNR-084,"GNR-084|anti-CD3/anti-CD19 bispecific T-cell engager (IONTAS, B-cell acute lymphoblastic leukemia), IBC Generium",,Cancer,CD3 modulator|B-lymphocyte antigen CD19 modulator,5023|5080,T-lymphocyte stimulator|Immunostimulant|Anticancer monoclonal antibody,7761|393|55685,B-cell acute lymphoblastic leukemia,1729,,,International Biotechnology Center Generium LLC,1065293,,,International Biotechnology Center Generium LLC,1065293,,,Leukotriene Receptor Antagonists|Lipoxygenase Inhibitors|Thromboxane Synthase Inhibitors,237|447|503,Signal Transduction Modulators,1402
120774,NX-2127,"NRX-0492|BTK degraders (PROTAC, chronic lymphocytic leukemia), Nurix Therapeutics/NIH|BTK targeting PROTACS (chronic lymphocytic leukemia), Nurix Therapeutics/National Institutes of Health|NX-2127|BTK degraders (PROTAC, oral, B-cell lymphoma/CLL), Nurix Therapeutics/NIH",Research Code,Cancer,Btk tyrosine kinase inhibitor|Zinc finger binding protein Aiolos inhibitor,3592|53674,Anticancer|Anticancer protein kinase inhibitor,1545|62255,Chronic lymphocytic leukemia|Lymphoplasmacytic lymphoma|Mantle cell lymphoma|Follicle center lymphoma|Splenic marginal zone lymphoma|Diffuse large B-cell lymphoma|B-cell lymphoma|Non-Hodgkin lymphoma,1734|1743|1744|1745|1747|1749|316|319,,,Nurix Therapeutics Inc|National Institutes of Health,1096437|20518,,,National Institutes of Health,20518,,,,,,
120783,FT-538,"FT-538|iPSC-derived hnCD16/CD38null NK cells (multiple myeloma), Fate Therapeutics/University of Minnesota|IL-15RF and hnCD16-expressing iPSC-derived NK cell therapy with CD38 knock out (cancer), Fate Therapeutics/University of Minnesota",,Cancer,,,Immunostimulant|Anticancer|Natural killer cell stimulator,393|1545|7757,Acute myelogenous leukemia|Multiple myeloma|Solid tumor,1731|1828|725,,,Fate Therapeutics Inc,1036293,University of Minnesota,20626,University of Minnesota,20626,,,,,,
120849,VTP-600,VTP-600,Research Code,Cancer,T-cell surface glycoprotein CD8 stimulator,5039,Therapeutic vaccine|Recombinant viral vector vaccine|Anticancer,12379|12370|1545,Esophagus tumor|Non-small-cell lung cancer|Squamous cell carcinoma,1011|1262|307,,,Ludwig Institute for Cancer Research (US)|Vaccitech Oncology Limited,22000|1202416,,,Vaccitech Oncology Limited,1202416,,,,,,
120851,BBT-176,"BBT-176|epidermal growth factor receptor-tyrosine kinase inhibitor (NSCLC), Korea Research Institute of Chemical Technology/Bridge Biotherapeutics|epidermal growth factor receptor-tyrosine kinase inhibitor (oral, NSCLC), Bridge Biotherapeutics",Research Code,Cancer,EGFR family tyrosine kinase receptor inhibitor,3754,Anticancer,1545,Non-small-cell lung cancer,1262,,,Bridge Biotherapeutics Inc,1153465,Korea Research Institute of Chemical Technology,17684,Korea Research Institute of Chemical Technology,17684,,,,,,
120907,"anti-CD19 CAR T-cell therapy (acute lymphoblastic leukemia/Non-hodgkins lymphoma), Acibadem University","anti-CD19 CAR T-cell therapy (acute lymphoblastic leukemia/Non-hodgkins lymphoma), Acibadem University",,Cancer,B-lymphocyte antigen CD19 modulator,5080,T-lymphocyte stimulator|Genetically engineered autologous cell therapy|Anticancer|Immunostimulant,7761|4790|1545|393,Acute lymphoblastic leukemia|Non-Hodgkin lymphoma,1728|319,Cancer,651,Acibadem University,1060817,,,Acibadem University,1060817,,Senazodan hydrochloride,Calcium Sensitizers|Phosphodiesterase PDE3 Inhibitors,1058|469,Signal Transduction Modulators,1402
121041,SAR-442257,"CD3/CD38/CD28 trispecific T-cell engager/costimulator (multiple myeloma), Sanofi|dual anti-CD3/anti-CD38 T-cell engager/CD28 costimulator (multiple myeloma), Sanofi|SAR-442257",Research Code,Cancer,CD3 modulator|T cell surface glycoprotein CD28 stimulator|ADP ribosyl cyclase-1 modulator,5023|5105|5134,Anticancer antibody|T-lymphocyte stimulator|Anticancer monoclonal antibody|Immunostimulant,55684|7761|55685|393,Mycosis fungoides|Lymphoma leukemia|Lymphoplasmacytic lymphoma|Mantle cell lymphoma|Follicle center lymphoma|Marginal zone B-cell lymphoma|Diffuse large B-cell lymphoma|Cutaneous T-cell lymphoma|Sezary syndrome|Multiple myeloma|Non-Hodgkin lymphoma,1115|1737|1743|1744|1745|1746|1749|1754|1756|1828|319,,,Sanofi SA,1009547,,,Sanofi SA,1009547,,,,,,
121043,BCMA-CART,"BCMA-CART|anti-BCMA CAR T-cell therapy (multiple myeloma), Shanghai Bioray Laboratory",Research Code,Cancer,APRIL receptor modulator,8255,Immunostimulant|T-lymphocyte stimulator|Anticancer|Genetically engineered autologous cell therapy,393|7761|1545|4790,Multiple myeloma,1828,,,Shanghai Bioray Laboratory Inc,1151487,,,Shanghai Bioray Laboratory Inc,1151487,,,,,,
12105,IRX-4204,"AGN-191701|AGN-194204|AGN-4202|ALRT-326|LGD-4204|LGD-4326|ALRT-4204|AGN-190205|AGN-191659|AGN-192326|AGN-192327|AGN-192509|AGN-192599|AGN-192870|AGN-194277|AGN-195393|RXR ligands, ALRT|RXR ligands, Allergan|RXR agonists, Allergan/Pfizer|RXR agonists, Allergan/Parke-Davis|retinoid X receptor agonists, ALRT|retinoid X receptor agonists, Allergan|VTP-4204|VTP-194204|RXR agonists (cancer/ diabetes), Vitae Pharmaceuticals|NRX-4204|rexinoid receptor agonist (cancer), NuRx|NRX-194202|NRX-194204|AGN-4204|IRX-4204|AGN-191183",Research Code|Research Code|Research Code|Research Code|Research Code|Research Code|Research Code|Research Code|Research Code|Research Code|Research Code|Research Code|Research Code|Research Code|Research Code|Research Code|Research Code|Research Code|Research Code|Research Code|Research Code|Research Code,Cancer|Endocrine/Metabolic|Immune|Neurology/Psychiatric,Synuclein alpha inhibitor|Tau aggregation inhibitor|Beta amyloid antagonist|Retinoid X receptor agonist,11111|2425|7343|4059,Anti-inflammatory|Neuroprotectant|Apoptosis stimulator|Hypoglycemic agent|Anticancer|Antiparkinsonian,2953|1615|1589|399|1545|2947,Non-small-cell lung cancer|Alzheimers disease|Multiple sclerosis|Pancreas tumor|Parkinsons disease|Prostate tumor|Autoimmune encephalomyelitis|Breast tumor|Graft versus host disease,1262|14|213|249|255|276|3858|49|616,Neoplasm|Traumatic brain injury|Cancer|Metabolic disorder|Diabetes mellitus,230|3733|651|655|97,Io Therapeutics Inc,1061417,NuRx Pharmaceuticals Inc|Allergan Inc|Allergan Ligand Retinoid Therapeutics Inc|Pfizer Inc|Parke-Davis & Co|Vitae Pharmaceuticals Inc,1032578|14042|16824|18767|20805|29775,Allergan Ligand Retinoid Therapeutics Inc,16824,,,,,,
121144,"anti-CD19 CAR T-cell therapy (B-cell acute lymphoblastic leukemia/lymphoma), Loyola University of Chicago","CD19 CAR T-cell therapy (B-cell acute lymphoblastic leukemia/B-cell lymphoma), Loyola University of Chicago|anti-CD19 CAR T-cell therapy (B-cell acute lymphoblastic leukemia/lymphoma), Loyola University of Chicago|CD19-CD34 CAR transduced T cell therapy (B-cell acute lymphoblastic leukemia/lymphoma), Loyala University",,Cancer,B-lymphocyte antigen CD19 modulator,5080,T-lymphocyte stimulator|Immunostimulant|Genetically engineered autologous cell therapy|Anticancer,7761|393|4790|1545,B-cell acute lymphoblastic leukemia|B-cell lymphoma,1729|316,,,Loyola University of Chicago,20610,,,Loyola University of Chicago,20610,,,,,,
121147,GC-027,"GC-027|allogeneic CAR T-cell therapy (TruUCAR technology, T cell malignancies), Gracell Biotechnology|anti-CD7 CAR-T-cell therapy (TruUCAR, CD7+ relapsed and/or refractory T/NK cell hematologic malignancies), Gracell Biotechnology",Research Code,Cancer,T-cell antigen CD7 modulator,5035,Anticancer|Immunostimulant|T-lymphocyte stimulator,1545|393|7761,T-cell acute lymphoblastic leukemia|Precursor T-lymphoblastic lymphoma-leukemia|Leukemia|T-cell lymphoma|Lymphoblastic leukemia,1730|1752|199|311|3436,,,Gracell Biotechnology Ltd,1180179,,,Gracell Biotechnology Ltd,1180179,,,,,,
12117,"methylphenidate hydrochloride (oral controlled-release, OROS), ALZA","methylphenidate|Concerta|methylphenidate hydrochloride|methylphenidate, ALZA/Crescendo|methylphenidate (once-daily oral, OROS), ALZA|methylphenidate (oral controlled-release, OROS), ALZA|JNS-001|OROS-MPH|methylphenidate HCI|Concerta XL|methylphenidate hydrochloride (oral controlled-release, OROS), ALZA",USAN|BANN|INN|Trade Name|USAN|Research Code|Trade Name|Trade Name,Neurology/Psychiatric|Other/Miscellaneous,Alpha 2 adrenoceptor agonist,33,Dopamine uptake modulator|CNS modulator|Psychomodulator,1306|2939|2940,Attention deficit hyperactivity disorder,34,Fatigue,829,Janssen-Cilag Ltd|Janssen Pharmaceutical KK|Johnson & Johnson|McNeil-PPC Inc|Xian-Janssen Pharmaceutical Ltd|ALZA Corp|moksha8 Pharmaceuticals Inc,17392|17408|17332|17560|17608|14095|1050182,Crescendo Pharmaceuticals Corp,25201,Crescendo Pharmaceuticals Corp,25201,,,,,,
121213,XMT-1592,"XMT-1592|auristatin/NaPi2b-targeting antibody drug conjugate (Dolasynthen platform, cancer), Mersana Therapeutics",Research Code,Cancer,Sodium phosphate cotransporter 2B inhibitor,32671,Microtubule inhibitor|Anticancer antibody,2575|55684,Non-small-cell lung cancer|Adenocarcinoma|Cancer|Ovary tumor,1262|2399|651|799,,,Mersana Therapeutics Inc|Recepta biopharma,1002523|1035632,,,Mersana Therapeutics Inc,1002523,,,,,,
121278,ATLCAR.k.28 cells,"ATLCAR.k.28 cells|CAR.k.28 cells|kappa Chimeric Antigen Receptor and CD28 Endodomain expressing T cells|anti-kappa CAR T-cell therapy (non-Hodgkin lymphoma), UNC Lineberger Comprehensive Cancer Center|ATLCAR.k.28 T-cell therapy (indolent non-Hodgkin lymphoma/follicular lymphoma/marginal zone lymphoma/mantle cell lymphoma), UNC Lineberger",,Cancer,Immunoglobulin kappa modulator,63442,Anticancer|Immunostimulant|Genetically engineered autologous cell therapy|T-lymphocyte stimulator,1545|393|4790|7761,Mantle cell lymphoma|Follicle center lymphoma|Marginal zone B-cell lymphoma|Splenic marginal zone lymphoma|Non-Hodgkin lymphoma,1744|1745|1746|1747|319,,,UNC Lineberger Comprehensive Cancer Center,1041077,,,UNC Lineberger Comprehensive Cancer Center,1041077,,,,,,
121331,SEA-CD70,SEA-CD70,Research Code,Cancer,CD70 antigen modulator,5289,Anticancer monoclonal antibody,55685,Myelodysplastic syndrome|Acute myelogenous leukemia,1272|1731,,,Seagen Inc|BeiGene Co Ltd,25554|1063251,,,Seagen Inc,25554,,,,,,
121344,GEN-001,"GEN-001|microbiome-based therapeutic (oral enteric capsule/lyophilized, cancer), Genome & Co",Research Code,Cancer,,,Macrophage stimulator|Dendritic cell stimulator|T-lymphocyte stimulator|Anticancer|Immunostimulant,7751|173472|7761|1545|393,Non-small-cell lung cancer|Gastrointestinal tumor|Squamous cell carcinoma|Advanced solid tumor|Head and neck tumor|Uterus tumor,1262|131|307|3713|623|740,Cancer|Lung tumor,651|755,Genome & Co,1182701,,,Genome & Co,1182701,,,,,,
12135,celecoxib,Celebrex|celecoxib|SC-58635|YM-177|Celebra|Onsenal|YM-74177|celecoxib FAP|Celecox,Trade Name|USAN|INN|Research Code|Research Code|Trade Name|Trade Name|Research Code|Trade Name,Cancer|Dermatologic|Gastrointestinal|Genitourinary/Sexual Function|Immune|Inflammatory|Musculoskeletal|Neurology/Psychiatric|Other/Miscellaneous,Cyclooxygenase 2 inhibitor,1001,Non-steroidal anti-inflammatory|Analgesic|Anticancer,2955|2946|1545,Dysmenorrhea|Familial adenomatous polyposis|Pain|Osteoarthritis|Periarthritis|Tenosynovitis|Rheumatoid arthritis|Back pain|Ankylosing spondylitis,105|1277|20|245|2471|2489|291|3221|398,Esophagus tumor|Keratosis|Non-small-cell lung cancer|Gout|Alzheimers disease|Inflammatory disease|Pancreas tumor|Prostate tumor|Non-Hodgkin lymphoma|Bladder tumor|Cachexia|Metastatic renal cell carcinoma|Uterine cervix tumor|Breast tumor|Skin tumor|Lung tumor|Colon tumor|Colorectal tumor,1011|1057|1262|136|14|188|249|276|319|42|425|4250|427|49|722|755|767|989,Viatris Inc|Astellas Pharma Inc,1136574|1013295,GD Searle & Co|Pfizer Inc|Yamanouchi Pharmaceutical Co Ltd,18362|18767|20967,GD Searle & Co,18362,,,,,,
121449,JBH-492,"JBH-492|anti-CCR7 antibody-drug conjugate (chronic lymphocytic leukemia, Non-Hodgkin’s lymphoma), Novartis",Research Code,Cancer,CCR7 chemokine antagonist,3113,Anticancer antibody,55684,Chronic lymphocytic leukemia|Hematological neoplasm|Non-Hodgkin lymphoma,1734|2054|319,,,Novartis AG,23137,,,Novartis AG,23137,,,,,,
121466,elasomeran,"mRNA vaccine (COVID-19), ModeRNA/NIAID Vaccine Research Center|mRNA vaccine (COVID-19), ModeRNA|SARS-CoV-2 mRNA vaccine (COVID-19), ModeRNA|COVID-19 Vaccine Moderna Intramuscular Injection|elasomeran|TAK-919|Moderna COVID-19 Vaccine|mRNA-1273|Spikevax",Trade Name|PINN|Research Code|Research Code|Trade Name,Infection,COVID19 Spike glycoprotein modulator,174434,Prophylactic vaccine|RNA vaccine,12378|12377,Coronavirus disease 19 infection,10406,,,Medison Pharma Ltd|Takeda Pharmaceutical Co Ltd|GC Pharma|ModeRNA Therapeutics,29943|20300|16583|1060964,,,ModeRNA Therapeutics,1060964,,,,,,
