Raw Drug,Mechanism Of Action,drug_cleaned,drug_sponsor,standard_drug,synonym_cortellus,flag,synonym_list,drug_cleaned_cortellus,flag_synoymn_list,synonym_list_cleaned,Mapping_flag
CC 90011,Lysine (K)-specific demethylase 1A inhibitor,CC 90011,,CC-90011,cc 90011,fexact,"['CC-90011', 'LSD1 inhibitor (solid tumors/SCLC/NSCLC/lymphoma)']",CC-90011,fexact,"['cc 90011', 'lsd1 inhibitor solid tumors sclc nsclc lymphoma']",correct_mapping
necitumumab,EGFR antagonist,necitumumab,,necitumumab,necitumumab,fexact,"['Human EGF antibody vaccine', 'human EGF antibody', 'human EGF antibody, ImClone', 'Portrazza', 'IMC-11F8', 'LY-3012211', 'Human EGF antibody vaccine, ImClone', 'necitumumab']",necitumumab,fexact,"['human egf antibody vaccine', 'human egf antibody', 'human egf antibody imclone', 'portrazza', 'imc 11f8', 'ly 3012211', 'human egf antibody vaccine imclone', 'necitumumab']",correct_mapping
dasatinib,LYN tyrosine kinase inhibitor; Bcr-Abl inhibitor; C-kit inhibitor; EphA receptor kinase inhibitor; Fyn tyrosine kinase inhibitor; Lymphocyte-specific tyrosine kinase inhibitor; Platelet-derived growth factor receptor beta kinase inhib; Src inhibitor; Yes tyrosine kinase inhibitor,dasatinib,,dasatinib,dasatinib,fexact,"['NSC-732517', 'Src/Abl kinase inhibitor (cancer), BMS', 'BMS-354825', 'Sprycel', 'Spricel', 'dasatinib (USAN)', 'dasatinib', 'Spraicell']",dasatinib,fexact,"['nsc 732517', 'src abl kinase inhibitor cancer bms', 'bms 354825', 'sprycel', 'spricel', 'dasatinib usan', 'dasatinib', 'spraicell']",correct_mapping
APG-1387,IAP antagonist,APG-1387,,APG-1387,apg 1387,fexact,"['APG-1387', 'SM-1387']",APG-1387,fexact,"['apg 1387', 'sm 1387']",correct_mapping
zanubrutinib,Bruton tyrosine kinase inhibitor,zanubrutinib,,zanubrutinib,zanubrutinib,fexact,"['BGB-3111', 'zanubrutinib', 'target-3 (solid/hematological tumors)', 'BRUKINSA', 'zanubrutinib (COVID-19)', 'BTK inhibitor (solid/hematological tumors)', 'BDB-3111']",zanubrutinib,fexact,"['bgb 3111', 'zanubrutinib', 'target 3 solid hematological tumors', 'brukinsa', 'zanubrutinib covid 19', 'btk inhibitor solid hematological tumors', 'bdb 3111']",correct_mapping
BGB-10188,PI3 kinase delta inhibitor,BGB-10188,,BGB-10188,bgb 10188,fexact,"['PI3Kdelta inhibitor (cancer)', 'BGB-10188']",BGB-10188,fexact,"['pi3kdelta inhibitor cancer', 'bgb 10188']",correct_mapping
Nedaplatin,DNA inhibitor,Nedaplatin,,nedaplatin,nedaplatin,fexact,"['254-S', 'NSC-375101D', 'S-254', 'nedaplatin']",nedaplatin,fexact,"['254 s', 'nsc 375101d', 's 254', 'nedaplatin']",correct_mapping
AL-034,Toll-like receptor 7 agonist,AL-034,,AL-034,al 034,fexact,"['JNJ-4964', 'TLR agonist (hepatitis B), Chia Tai Tianqing/Janssen', 'JNJ-64794964', 'AL-034', 'TQ-A3334, Chia Tai Tianqing Pharmaceutical Group', 'TLR agonist (hepatitis B),/', 'TQ-A3334', 'TLR agonist (hepatitis B),/Janssen']",AL-034,fexact,"['jnj 4964', 'tlr agonist hepatitis b chia tai tianqing janssen', 'jnj 64794964', 'al 034', 'tq a3334 chia tai tianqing pharmaceutical group', 'tlr agonist hepatitis b', 'tq a3334', 'tlr agonist hepatitis b janssen']",correct_mapping
venetoclax,Bcl2 inhibitor; Apoptosis stimulant,venetoclax,,venetoclax,venetoclax,fexact,"['A-1195425.0', 'ABT-199', 'GDC-0199', 'Venclyxto', 'Venclexta', 'venetoclax', 'RG-7601', 'RO-5537382']",venetoclax,fexact,"['a 1195425 0', 'abt 199', 'gdc 0199', 'venclyxto', 'venclexta', 'venetoclax', 'rg 7601', 'ro 5537382']",correct_mapping
tilsotolimod,Toll-like receptor 9 agonist; Immuno-oncology therapy,tilsotolimod,,tilsotolimod,tilsotolimod,fexact,"['IMO-2125', 'IMO (HCV)', 'IMO (hepatitis C virus infection), Hybridon', 'immunomodulatory oligonucleotide (hepatitis C virus infection), Hybridon', 'immunomodulatory oligonucleotide (HCV)', 'tilsotolimod', 'HYB-2125']",tilsotolimod,fexact,"['imo 2125', 'imo hcv', 'imo hepatitis c virus infection hybridon', 'immunomodulatory oligonucleotide hepatitis c virus infection hybridon', 'immunomodulatory oligonucleotide hcv', 'tilsotolimod', 'hyb 2125']",correct_mapping
ABBV-184,CD3 agonist; Immuno-oncology therapy,ABBV-184,,ABBV-184,abbv 184,fexact,"['ABBV-184', 'anti-CD3/anti-survivin bispecific T-cell engager (cancer/AML/NSCLC)']",ABBV-184,fexact,"['abbv 184', 'anti cd3 anti survivin bispecific t cell engager cancer aml nsclc']",correct_mapping
PANDA-VAC,Immunostimulant,PANDA-VAC,,,,0,['PANDA-VAC'],,0,[],0
autogene cevumeran,Immuno-oncology therapy,autogene cevumeran,,autogene cevumeran,autogene cevumeran,fexact,"['individualized Neoantigen-Specific Therapy, Roche/', 'BNT-122', 'RO-7198457', 'autogene cevumeran', 'iNeST, Roche/', 'mRNA-based personalized cancer vaccine (IVAC MUTANOME, iv, solid tumors),/', 'RG-6180', 'mRNA-based personalized cancer vaccine (IVAC MUTANOME, iv, solid tumors), Genentech/']",autogene cevumeran,fexact,"['individualized neoantigen specific therapy roche', 'bnt 122', 'ro 7198457', 'autogene cevumeran', 'inest roche', 'mrna based personalized cancer vaccine ivac mutanome iv solid tumors', 'rg 6180', 'mrna based personalized cancer vaccine ivac mutanome iv solid tumors genentech']",correct_mapping
oleclumab,Immuno-oncology therapy; CD73 antagonist,oleclumab,,oleclumab,oleclumab,fexact,"['oleclumab', 'CD73 checkpoint inhibitor (cancer)', 'CD73 antagonist (cancer)', 'MEDI-9447']",oleclumab,fexact,"['oleclumab', 'cd73 checkpoint inhibitor cancer', 'cd73 antagonist cancer', 'medi 9447']",correct_mapping
UCPVax vaccine,Telomerase stimulant; CD4 agonist; Immuno-oncology therapy,UCPVax vaccine,,,,0,['UCPVax vaccine'],,0,[],0
OC-001,Unidentified pharmacological activity,OC-001,,OC-001,oc 001,fexact,"['tumor necrosis factor inhibitor (intravenous, advanced cancers)', 'TNF inhibitor (intravenous, advanced cancers)', 'OC-001']",OC-001,fexact,"['tumor necrosis factor inhibitor intravenous advanced cancers', 'tnf inhibitor intravenous advanced cancers', 'oc 001']",correct_mapping
RS-0139,Unidentified pharmacological activity,RS-0139,,RS-0139,rs 0139,fexact,['RS-0139'],RS-0139,fexact,['rs 0139'],correct_mapping
rigosertib (oral),Microtubule inhibitor; Polo-like kinase 1 inhibitor; Mcl-1 antagonist; PI3 kinase inhibitor; Cell cycle inhibitor,rigosertib,,,,0,"['Estybon (capsule, myelodysplastic syndrome/solid tumor)', 'rigosertib sodium (oral capsule, MDS/squamous cell carcinoma/solid tumors),/SymBio', 'rigosertib sodium (oral capsule, MDS/squamous cell carcinoma/solid tumors), Onconova/SymBio', 'ON-01910 sodium (capsule, myelodysplastic syndrome/solid tumor), Onconova', 'rigosertib', 'Novonex (capsule, myelodysplastic syndrome/solid tumor)', 'SyB-1101 (oral, MDS)', 'Novonex (capsule, myelodysplastic syndrome/solid tumor), Onconova', 'ONO-106 (capsule, myelodysplastic syndrome/solid tumor)', 'rigosertib sodium', 'Estybon (capsule, myelodysplastic syndrome/solid tumor), Onconova', 'ON-01910.Na (capsule, myelodysplastic syndrome/solid tumor), Onconova', 'ON-01910Na', 'ON-1910Na', 'ONO-106 (capsule, myelodysplastic syndrome/solid tumor), Onconova', 'Estybon', 'ON-01910.Na (capsule, myelodysplastic syndrome/solid tumor)', 'ON-1910 sodium', 'ON-01910.Na', 'SyB C-1101', 'SyB-1101 (oral, MDS), SymBio', 'rigosertib sodium (oral capsule, MDS/squamous cell carcinoma/solid tumors),/', 'Novonex', 'ON-01910 sodium (capsule, myelodysplastic syndrome/solid tumor)']",,NER_API,[],0
YBL-006,PD-1 antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,YBL-006,,YBL-006,ybl 006,fexact,['YBL-006'],YBL-006,fexact,['ybl 006'],correct_mapping
SGN-TGT,TIGIT receptor antagonist,SGN-TGT,,SEA-TGT,sgn tgt,fexact,"['nonfucosylated human IgG antibody (SEA, solid tumor/lymphoma), Seattle Genetics', 'SEA-TGT', 'SGN-TGT']",SEA-TGT,fexact,"['nonfucosylated human igg antibody sea solid tumor lymphoma seattle genetics', 'sea tgt', 'sgn tgt']",correct_mapping
selinexor (tablet),Exportin 1 inhibitor,selinexor,,selinexor,selinexor,fexact,"['ATG-010', 'KCP-330', 'KPT-207', 'XPOVIO', 'nuclear transport inhibitors (inflammation/viral diseases/cancer), Karyopharm Therapeutics', 'selective nuclear export inhibitors (COVID-19), Karyopharm Therapeutics', 'SINE (autoimmune diseases/HIV/cancer)', 'Nexpovio', 'KPT-SINE', 'KPT-185', 'SINE-KPT-330', 'KPT-225', 'KPT-330', 'KPT-XXX', 'Exportin-1 inhibitors (inflammation/viral diseases/cancer), Karyopharm Therapeutics', 'CRM-1 inhibitors (inflammation/viral diseases/cancer), Karyopharm Therapeutics', 'selective nuclear export inhibitors (autoimmune/inflammation/HIV/cancer/dermatological disease)', 'nuclear transport inhibitors (inflammation/viral diseases/cancer)', 'selective nuclear export inhibitors (autoimmune diseases/HIV/cancer)', 'KPT-249', 'KPT-276', 'Exportin-1 inhibitors (inflammation/viral diseases/cancer)', 'KPT-251', 'selinexor', 'Xpovio', 'selective nuclear export inhibitors (autoimmune diseases/HIV/cancer), Karyopharm Therapeutics', 'SINE (autoimmune diseases/HIV/cancer), Karyopharm Therapeutics', 'CRM-1 inhibitors (inflammation/viral diseases/cancer)', 'ONO-7705', 'selective nuclear export inhibitors (autoimmune/inflammation/HIV/cancer/dermatological disease), Karyopharm Therapeutics', 'selective nuclear export inhibitors (COVID-19)']",selinexor,fexact,"['atg 010', 'kcp 330', 'kpt 207', 'xpovio', 'nuclear transport inhibitors inflammation viral diseases cancer karyopharm therapeutics', 'selective nuclear export inhibitors covid 19 karyopharm therapeutics', 'sine autoimmune diseases hiv cancer', 'nexpovio', 'kpt sine', 'kpt 185', 'sine kpt 330', 'kpt 225', 'kpt 330', 'kpt xxx', 'exportin 1 inhibitors inflammation viral diseases cancer karyopharm therapeutics', 'crm 1 inhibitors inflammation viral diseases cancer karyopharm therapeutics', 'selective nuclear export inhibitors autoimmune inflammation hiv cancer dermatological disease', 'nuclear transport inhibitors inflammation viral diseases cancer', 'selective nuclear export inhibitors autoimmune diseases hiv cancer', 'kpt 249', 'kpt 276', 'exportin 1 inhibitors inflammation viral diseases cancer', 'kpt 251', 'selinexor', 'xpovio', 'selective nuclear export inhibitors autoimmune diseases hiv cancer karyopharm therapeutics', 'sine autoimmune diseases hiv cancer karyopharm therapeutics', 'crm 1 inhibitors inflammation viral diseases cancer', 'ono 7705', 'selective nuclear export inhibitors autoimmune inflammation hiv cancer dermatological disease karyopharm therapeutics', 'selective nuclear export inhibitors covid 19']",correct_mapping
telaglenastat,Glutaminase inhibitor,telaglenastat,,telaglenastat hydrochloride,telaglenastat,fexact,"['CB-839 HCl', 'glutaminase inhibitors (oral, cancer)', 'CB-839', 'telaglenastat', 'glutaminase inhibitors (oral, cancer/anaplastic astrocytoma)', 'telaglenastat hydrochloride']",telaglenastat hydrochloride,fexact,"['cb 839 hcl', 'glutaminase inhibitors oral cancer', 'cb 839', 'telaglenastat', 'glutaminase inhibitors oral cancer anaplastic astrocytoma', 'telaglenastat hydrochloride']",correct_mapping
guadecitabine,DNA methylase inhibitor,guadecitabine,,guadecitabine sodium,guadecitabine,fexact,"['guadecitabine sodium', 'DNA demethylating agent (myelodysplastic syndrome/hepatocellular carcinoma/ovarian cancer/acute myelogenous leukemia/melanoma/non-small cell lung cancer), Supergen', 'DNA demethylating agent (myelodysplastic syndrome/hepatocellular carcinoma/ovarian cancer/acute myelogenous leukemia), Supergen', 'DNA demethylating agent (myelodysplastic syndrome), Supergen', 'S-110', 'guadecitabine', 'SGI-110']",guadecitabine sodium,fexact,"['guadecitabine sodium', 'dna demethylating agent myelodysplastic syndrome hepatocellular carcinoma ovarian cancer acute myelogenous leukemia melanoma non small cell lung cancer supergen', 'dna demethylating agent myelodysplastic syndrome hepatocellular carcinoma ovarian cancer acute myelogenous leukemia supergen', 'dna demethylating agent myelodysplastic syndrome supergen', 's 110', 'guadecitabine', 'sgi 110']",correct_mapping
GNX-102,Lewis antigen inhibitor,GNX-102,,GNX-102,gnx 102,fexact,"['GNX-102', 'anti-TACAs humanized antibody (advanced solid tumors)', 'anti-tumor-associated carbohydrate antigen mAb (advanced solid tumor)']",GNX-102,fexact,"['gnx 102', 'anti tacas humanized antibody advanced solid tumors', 'anti tumor associated carbohydrate antigen mab advanced solid tumor']",correct_mapping
oritinib,EGFR kinase inhibitor,oritinib,,,,0,['oritinib'],,0,[],0
quaratusugene ozeplasmid,Apoptosis stimulant; Immuno-oncology therapy,quaratusugene ozeplasmid,,quaratusugene ozeplasmid,quaratusugene ozeplasmid,fexact,"['quaratusugene ozeplasmid', 'FUS1 gene therapy (iv nanoparticle formulation, NSCLC)', 'p53 bystander effector, Introgen', 'p53 bystander effector', 'GEN-001', 'DOTAP:chol-FUS1', 'DOTAP:chol-TUSC2', 'Fus-1 tumor suppressor gene therapy (nanoparticles, cancer)', 'Reqorsa', 'INGN-401', 'CNVN-202', 'Oncoprex', 'GPX-001', 'TUSC2 gene therapy (intravenous nanoparticles, NSCLC)', 'FUS1-DOTAP:cholesterol', 'Fus-1 tumor suppressor gene therapy (nanoparticles, cancer), MD Anderson']",quaratusugene ozeplasmid,fexact,"['quaratusugene ozeplasmid', 'fus1 gene therapy iv nanoparticle formulation nsclc', 'p53 bystander effector introgen', 'p53 bystander effector', 'gen 001', 'dotap chol fus1', 'dotap chol tusc2', 'fus 1 tumor suppressor gene therapy nanoparticles cancer', 'reqorsa', 'ingn 401', 'cnvn 202', 'oncoprex', 'gpx 001', 'tusc2 gene therapy intravenous nanoparticles nsclc', 'fus1 dotap cholesterol', 'fus 1 tumor suppressor gene therapy nanoparticles cancer md anderson']",correct_mapping
XMT-1592,NaP2b antagonist,XMT-1592,,XMT-1592,xmt 1592,fexact,"['auristatin/NaPi2b-targeting antibody drug conjugate (Dolasynthen platform, cancer)', 'XMT-1592']",XMT-1592,fexact,"['auristatin napi2b targeting antibody drug conjugate dolasynthen platform cancer', 'xmt 1592']",correct_mapping
enfortumab vedotin,Tubulin inhibitor; Immuno-oncology therapy,enfortumab vedotin,,,,0,"['ASG-22M6E', 'AGS-22M', 'enfortumab vedotin', 'Padcev', 'ASG-22ME', 'ASG-22CE', 'AGS-22M6/monomethyl auristatin E conjugate (solid tumors),/Seattle Genetics', 'AGS-M6', 'AGS-22M6E', 'enfortumab vedotin (iv, cancer),/Seagen', 'enfortumab vedotin (iv, cancer),/', 'enfortumab vedotin-ejfv', 'AGS-22ME', 'AGS-22CE']",,NER_API,[],0
"GEN-001, Genome & Company","Immuno-oncology therapy; Microbiome modulator, live microorganisms",GEN-001,Genome & Company,quaratusugene ozeplasmid,gen 001,fexact,"['quaratusugene ozeplasmid', 'FUS1 gene therapy (iv nanoparticle formulation, NSCLC)', 'p53 bystander effector, Introgen', 'p53 bystander effector', 'GEN-001', 'DOTAP:chol-FUS1', 'DOTAP:chol-TUSC2', 'Fus-1 tumor suppressor gene therapy (nanoparticles, cancer)', 'Reqorsa', 'INGN-401', 'CNVN-202', 'Oncoprex', 'GPX-001', 'TUSC2 gene therapy (intravenous nanoparticles, NSCLC)', 'FUS1-DOTAP:cholesterol', 'Fus-1 tumor suppressor gene therapy (nanoparticles, cancer), MD Anderson']",quaratusugene ozeplasmid,fexact,"['quaratusugene ozeplasmid', 'fus1 gene therapy iv nanoparticle formulation nsclc', 'p53 bystander effector introgen', 'p53 bystander effector', 'gen 001', 'dotap chol fus1', 'dotap chol tusc2', 'fus 1 tumor suppressor gene therapy nanoparticles cancer', 'reqorsa', 'ingn 401', 'cnvn 202', 'oncoprex', 'gpx 001', 'tusc2 gene therapy intravenous nanoparticles nsclc', 'fus1 dotap cholesterol', 'fus 1 tumor suppressor gene therapy nanoparticles cancer md anderson']",correct_mapping
PY-314,TREM-2 antagonist; Immuno-oncology therapy,PY-314,,PY-314,py 314,fexact,"['PI-103 inhibitor (Myeloid Tuning, cancer)', 'PY-314', 'Macrophage modulator (Myeloid Tuning, cancer)', 'anti PI-103 monoclonal antibody (Myeloid Tuning, cancer)', 'TREM2 modulator ((Myeloid Tuning, cancer)', 'anti PI-103 monoclonal antibody (Myeloid Tuning, advanced solid tumor)']",PY-314,fexact,"['pi 103 inhibitor myeloid tuning cancer', 'py 314', 'macrophage modulator myeloid tuning cancer', 'anti pi 103 monoclonal antibody myeloid tuning cancer', 'trem2 modulator myeloid tuning cancer', 'anti pi 103 monoclonal antibody myeloid tuning advanced solid tumor']",correct_mapping
doxorubicin,DNA synthesis inhibitor; DNA topoisomerase II inhibitor; RNA synthesis inhibitor,doxorubicin,,"doxorubicin (liposomal, STEALTH)",doxorubicin,fexact,"['doxorubicin (liposomal, STEALTH)', 'SL-Dox', 'DOX-SL', 'doxorubicin HCl', 'doxorubicin hydrochloride', 'Caelyx', 'STEALTH (doxorubicin)', 'S-DOX', 'doxorubicin,/Schering', 'NSC-712227', 'doxorubicin,/', 'doxorubicin', 'pegylated liposomal doxorubicin', 'Doxil', 'JNS-002']","doxorubicin (liposomal, STEALTH)",fexact,"['doxorubicin liposomal stealth', 'sl dox', 'dox sl', 'doxorubicin hcl', 'doxorubicin hydrochloride', 'caelyx', 'stealth doxorubicin', 's dox', 'doxorubicin schering', 'nsc 712227', 'doxorubicin', 'doxorubicin', 'pegylated liposomal doxorubicin', 'doxil', 'jns 002']",correct_mapping
ifosfamide,DNA inhibitor; DNA synthesis inhibitor,ifosfamide,,,,0,['ifosfamide'],,0,[],0
vopratelimab,Inducible T-cell costimulator agonist; Immuno-oncology therapy; Immune checkpoint stimulant,vopratelimab,,vopratelimab,vopratelimab,fexact,"['vopratelimab', 'ICOS agonist immunotherapy (solid tumors)', 'JTX-2011', 'ICOS costimulator (cancer)', 'ICOS agonist monoclonal antibody (solid tumors)']",vopratelimab,fexact,"['vopratelimab', 'icos agonist immunotherapy solid tumors', 'jtx 2011', 'icos costimulator cancer', 'icos agonist monoclonal antibody solid tumors']",correct_mapping
pimivalimab,PD-1 antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,pimivalimab,,JTX-4014,pimivalimab,fexact,"['anti-PD-1 IgG mAb (iv, solid tumors)', 'T effector cell modulator therapy (cancer)', 'PD-1 checkpoint inhibitor (cancer)', 'JTX-4014', 'pimivalimab']",JTX-4014,fexact,"['anti pd 1 igg mab iv solid tumors', 't effector cell modulator therapy cancer', 'pd 1 checkpoint inhibitor cancer', 'jtx 4014', 'pimivalimab']",correct_mapping
hafnium oxide nanoparticle (intratumoral),Immuno-oncology therapy,hafnium oxide nanoparticle,,,,0,['hafnium oxide nanoparticle'],,0,[],0
tepotinib (tablet),MET tyrosine kinase inhibitor,tepotinib,,tepotinib,tepotinib,fexact,"['tepotinib hydrochloride hydrate', 'tepotinib hydrochloride', 'Tepmetko', 'tepotinib', 'EMD-1214063', 'c-Met kinase inhibitors (cancer), Merck Serono', 'MSC-2156119J']",tepotinib,fexact,"['tepotinib hydrochloride hydrate', 'tepotinib hydrochloride', 'tepmetko', 'tepotinib', 'emd 1214063', 'c met kinase inhibitors cancer merck serono', 'msc 2156119j']",correct_mapping
glumetinib,MET tyrosine kinase inhibitor,glumetinib,,glumetinib,glumetinib,fexact,"['small molecule therapeutic (oral/tablet, solid tumor), Shanghai Haihe Pharmaceutical//', 'small molecule therapeutic (oral/tablet, solid tumor), Shanghai Haihe Pharmaceutical/Shanghai Institute of Materia Medica/Shanghai Green Valley Pharmaceutical', 'HH-SCC-244', 'small molecule therapeutic (oral/tablet, solid tumor), Shanghai Haihe Pharmaceutical/Shanghai Institute of Materia Medica/', 'glumetinib', 'SCC-244', 'gumeitini']",glumetinib,fexact,"['small molecule therapeutic oral tablet solid tumor shanghai haihe pharmaceutical', 'small molecule therapeutic oral tablet solid tumor shanghai haihe pharmaceutical shanghai institute of materia medica shanghai green valley pharmaceutical', 'hh scc 244', 'small molecule therapeutic oral tablet solid tumor shanghai haihe pharmaceutical shanghai institute of materia medica', 'glumetinib', 'scc 244', 'gumeitini']",correct_mapping
berzosertib,Ataxia telangiectasia Rad3 inhibitor,berzosertib,,berzosertib,berzosertib,fexact,"['VE-822', 'atr inhibitor (oral, solid tumors)', 'berzosertib', 'VX-970', 'M-66207', 'M-6620']",berzosertib,fexact,"['ve 822', 'atr inhibitor oral solid tumors', 'berzosertib', 'vx 970', 'm 66207', 'm 6620']",correct_mapping
dexamethasone,Immunosuppressant; Corticosteroid agonist,dexamethasone,,ProTmune,dexamethasone,fexact,"['dexamethasone', 'FT-4145', 'ProTmune', 'FT-1050 + FT-4145 modulated mPB (hematologic malignancies)', 'dmPGE2', 'dmPGE2 + dexamethasone modulated mobilized peripheral blood (hematologic malignancies)', 'FT-1050']",ProTmune,fexact,"['dexamethasone', 'ft 4145', 'protmune', 'ft 1050 ft 4145 modulated mpb hematologic malignancies', 'dmpge2', 'dmpge2 dexamethasone modulated mobilized peripheral blood hematologic malignancies', 'ft 1050']",correct_mapping
"vinorelbine, oral",Microtubule inhibitor; Tubulin inhibitor; Apoptosis stimulant; Vinca alkaloid,vinorelbine,oral,vinorelbine,vinorelbine,fexact,"['vinorelbine tartrate', 'KW-2307', 'vinorelbine', 'KW-3407', 'Eunades', 'vinorelbine monotartrate', 'Navelbine']",vinorelbine,fexact,"['vinorelbine tartrate', 'kw 2307', 'vinorelbine', 'kw 3407', 'eunades', 'vinorelbine monotartrate', 'navelbine']",correct_mapping
befortinib mesylate,EGFR kinase inhibitor,befortinib mesylate,,,,0,['befortinib mesylate'],,0,[],0
TY-9591,EGFR kinase inhibitor,TY-9591,,TY-9591,ty 9591,fexact,"['pyrimidine derivative (lung cancer), Guangzhou Boji Medical & Biotechnological/', 'pyrimidine derivate (lung cancer)', 'pyrimidine derivative (lung cancer),/', 'pyrimidine derivate (lung cancer), Tetranov Biopharm', 'TY-9591', 'RUNNOR-9591']",TY-9591,fexact,"['pyrimidine derivative lung cancer guangzhou boji medical biotechnological', 'pyrimidine derivate lung cancer', 'pyrimidine derivative lung cancer', 'pyrimidine derivate lung cancer tetranov biopharm', 'ty 9591', 'runnor 9591']",correct_mapping
retifanlimab,PD-1 antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,retifanlimab,,retifanlimab,retifanlimab,fexact,"['PD-1 checkpoint inhibitor (cancer), MacroGenics', 'INCMGA-00012', 'INCMGA-0012', 'MGA-012', 'retifanlimab', 'PD-1 checkpoint inhibitor (cancer)']",retifanlimab,fexact,"['pd 1 checkpoint inhibitor cancer macrogenics', 'incmga 00012', 'incmga 0012', 'mga 012', 'retifanlimab', 'pd 1 checkpoint inhibitor cancer']",correct_mapping
CDX-527,CD27 agonist; PD-L1 antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor; Immune checkpoint stimulant,CDX-527,,CDX-527,cdx 527,fexact,"['anti-CD27/anti-PD-L1 bispecific antibodies', 'CDX-527', 'anti-CD27/anti-PD-L1 BsAbs', 'dual PD-L1 checkpoint inhibitor/CD27 costimulator (bispecific antibody, cancer)']",CDX-527,fexact,"['anti cd27 anti pd l1 bispecific antibodies', 'cdx 527', 'anti cd27 anti pd l1 bsabs', 'dual pd l1 checkpoint inhibitor cd27 costimulator bispecific antibody cancer']",correct_mapping
BBP-398,"Tyrosine phosphatase, non-receptor type 11 inhibitor",BBP-398,,BBP-398,bbp 398,fexact,"['SHP-2 inhibitors (cancer), Navire Pharmaceuticals/MD Anderson Cancer Center', 'ptpn11 gene modulator (cancer), navire pharmaceuticals', 'IACS-13909', 'shp-2 inhibitors (cancer), navire pharmaceuticals', 'BBP-398', 'shp-2 inhibitors (cancer/advanced solid tumor/metatsatic non small cell lung cancer), navire pharmaceuticals', 'ptpn11 gene modulator (cancer)', 'shp-2 inhibitors (cancer/advanced solid tumor/metatsatic non small cell lung cancer)', 'PTPN11 gene modulator (cancer), Navire Pharmaceuticals/MD Anderson Cancer Center', 'SHP-2 inhibitors (cancer/advanced solid tumor/metatsatic non small cell lung cancer), Navire Pharmaceuticals/MD Anderson Cancer Center', 'shp-2 inhibitors (cancer)']",BBP-398,fexact,"['shp 2 inhibitors cancer navire pharmaceuticals md anderson cancer center', 'ptpn11 gene modulator cancer navire pharmaceuticals', 'iacs 13909', 'shp 2 inhibitors cancer navire pharmaceuticals', 'bbp 398', 'shp 2 inhibitors cancer advanced solid tumor metatsatic non small cell lung cancer navire pharmaceuticals', 'ptpn11 gene modulator cancer', 'shp 2 inhibitors cancer advanced solid tumor metatsatic non small cell lung cancer', 'ptpn11 gene modulator cancer navire pharmaceuticals md anderson cancer center', 'shp 2 inhibitors cancer advanced solid tumor metatsatic non small cell lung cancer navire pharmaceuticals md anderson cancer center', 'shp 2 inhibitors cancer']",correct_mapping
efineptakin alfa,Interleukin 7 agonist; T cell stimulant; Immuno-oncology therapy,efineptakin alfa,,efineptakin alfa,efineptakin alfa,fexact,"['IL-7-hyFc (lymphopenia/HPV infection/advanced solid tumor)', 'IL-7-hyFc', 'efineptakin alfa', 'GX-17', 'TJ-107', 'IL-7-hyFc (lymphopenia/HPV infection),/ NeoImmuneTech/ I-Mab', 'NT-17', 'NT-I7', 'IL-7-hyFc (lymphopenia/HPV infection),/ NeoImmuneTech/', 'rhIL-7-hyFc', 'IL-7-hyFc (lymphopenia/HPV infection),//', 'IL-7-hyFc (lymphopenia/HPV infection/advanced solid tumor/COVID-19), NeoImmuneTech', 'IL-7-hyFc (lymphopenia/HPV infection/advanced solid tumor/COVID-19)', 'HyLeukin-7', 'NIT-01', 'Hyleukin', '2026634-47-7', 'Hyleukin monotherapy (lymphopenia)', 'IL-7-hyFc (lymphopenia/HPV infection),/NeoImmuneTech', 'Il-7 Hybrid Fc', 'IL-7-hyFc (lymphopenia/HPV infection),/', 'Hyleukin monotherapy (lymphopenia), NeoImmuneTech']",efineptakin alfa,fexact,"['il 7 hyfc lymphopenia hpv infection advanced solid tumor', 'il 7 hyfc', 'efineptakin alfa', 'gx 17', 'tj 107', 'il 7 hyfc lymphopenia hpv infection neoimmunetech i mab', 'nt 17', 'nt i7', 'il 7 hyfc lymphopenia hpv infection neoimmunetech', 'rhil 7 hyfc', 'il 7 hyfc lymphopenia hpv infection', 'il 7 hyfc lymphopenia hpv infection advanced solid tumor covid 19 neoimmunetech', 'il 7 hyfc lymphopenia hpv infection advanced solid tumor covid 19', 'hyleukin 7', 'nit 01', 'hyleukin', '2026634 47 7', 'hyleukin monotherapy lymphopenia', 'il 7 hyfc lymphopenia hpv infection neoimmunetech', 'il 7 hybrid fc', 'il 7 hyfc lymphopenia hpv infection', 'hyleukin monotherapy lymphopenia neoimmunetech']",correct_mapping
autologous-dendritic cells pulsed with antigen,Immunostimulant,autologous-dendritic cells pulsed with antigen,,,,0,['autologous-dendritic cells pulsed with antigen'],,0,[],0
